"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 09 18:49:53 UTC 2025","Tue Dec 09 18:49:53 UTC 2025","54","Regression Testing","Regression Testing","com.gecom.SearchTest.AdvanceSearch","com.gecom.SearchTest.AdvanceSearch","testGetProductRecommendations","TC-SEARCH-003: Verify get product recommendations",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","64","Regression Testing","Regression Testing","com.gecom.NotificationsTest.MarkNotifications","com.gecom.NotificationsTest.MarkNotifications","testUserCanMarkNotificationAsRead","TC-NOTIF-004: Verify user can mark notification as read",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:43 UTC 2025","90","Regression Testing","Regression Testing","com.gecom.ProductsTest.LikeProducts","com.gecom.ProductsTest.LikeProducts","testUserCanLikeProduct","TC-PROD-026: Verify user can like a product",""
"passed","Tue Dec 09 18:49:39 UTC 2025","Tue Dec 09 18:49:39 UTC 2025","122","Regression Testing","Regression Testing","com.gecom.UsersTest.GetUsers","com.gecom.UsersTest.GetUsers","testAdminCanViewUserActivity","TC-USER-012: Verify admin can view user activity",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:43 UTC 2025","80","Regression Testing","Regression Testing","com.gecom.ProductsTest.LikeProducts","com.gecom.ProductsTest.LikeProducts","testGetProductLikesCount","TC-PROD-029: Verify get product likes count",""
"passed","Tue Dec 09 18:49:38 UTC 2025","Tue Dec 09 18:49:39 UTC 2025","689","Regression Testing","Regression Testing","com.gecom.UsersTest.GetUsers","com.gecom.UsersTest.GetUsers","testAdminCanListAllUsers","TC-USER-001: Verify admin can list all users",""
"passed","Tue Dec 09 18:49:38 UTC 2025","Tue Dec 09 18:49:38 UTC 2025","66","Regression Testing","Regression Testing","com.gecom.SystemTest.System","com.gecom.SystemTest.System","testHealthCheckSuccessfulRetrieval","TC-SYS-001: Verify API health check returns success",""
"passed","Tue Dec 09 18:49:52 UTC 2025","Tue Dec 09 18:49:52 UTC 2025","51","Regression Testing","Regression Testing","com.gecom.CouponsTest.CreateCoupons","com.gecom.CouponsTest.CreateCoupons","testCreateCouponFailsWithDuplicateCode","TC-COUP-006: Verify create coupon fails with duplicate code",""
"passed","Tue Dec 09 18:49:53 UTC 2025","Tue Dec 09 18:49:53 UTC 2025","43","Regression Testing","Regression Testing","com.gecom.SearchTest.AdvanceSearch","com.gecom.SearchTest.AdvanceSearch","testRecommendationsForNonExistentProduct","TC-SEARCH-004: Verify recommendations for non-existent product",""
"passed","Tue Dec 09 18:49:43 UTC 2025","Tue Dec 09 18:49:43 UTC 2025","48","Regression Testing","Regression Testing","com.gecom.ProductsTest.DeleteProducts","com.gecom.ProductsTest.DeleteProducts","testDeleteProductFailsForNonExistent","TC-PROD-014: Verify delete product fails for non-existent product",""
